,data_inversa,horario,br,km,municipio,classificacao_acidente,condicao_metereologica,sentido_via,tipo_veiculo,idade,sexo,latitude,longitude
13,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,2.0,Feminino,-25.3818,-49.1643
14,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,19.0,Feminino,-25.3818,-49.1643
15,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,29.0,Masculino,-25.3818,-49.1643
18,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,2.0,Feminino,-25.3818,-49.1643
19,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,19.0,Feminino,-25.3818,-49.1643
20,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,29.0,Masculino,-25.3818,-49.1643
23,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,2.0,Feminino,-25.3818,-49.1643
24,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,19.0,Feminino,-25.3818,-49.1643
25,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,29.0,Masculino,-25.3818,-49.1643
28,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,2.0,Feminino,-25.3818,-49.1643
29,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,19.0,Feminino,-25.3818,-49.1643
30,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,29.0,Masculino,-25.3818,-49.1643
33,2025-01-01,03:00:00,116.0,14.0,COLOMBO,Com Vítimas Fatais,Nublado,Decrescente,Automóvel,2.0,Feminino,-25.3818,-49.1643
