,data_inversa,horario,br,km,municipio,classificacao_acidente,condicao_metereologica,sentido_via,tipo_veiculo,idade,sexo,latitude,longitude
1,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,20.0,Feminino,-24.897235,-53.533793
2,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,18.0,Feminino,-24.897235,-53.533793
3,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,25.0,Masculino,-24.897235,-53.533793
4,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,20.0,Feminino,-24.897235,-53.533793
5,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,18.0,Feminino,-24.897235,-53.533793
6,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,25.0,Masculino,-24.897235,-53.533793
7,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,20.0,Feminino,-24.897235,-53.533793
8,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,18.0,Feminino,-24.897235,-53.533793
9,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,25.0,Masculino,-24.897235,-53.533793
10,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,20.0,Feminino,-24.897235,-53.533793
11,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,18.0,Feminino,-24.897235,-53.533793
12,2025-01-01,02:30:00,163.0,219.7,CASCAVEL,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,25.0,Masculino,-24.897235,-53.533793
38,2025-01-01,01:50:00,373.0,173.0,PONTA GROSSA,Com Vítimas Feridas,Nublado,Crescente,Automóvel,22.0,Masculino,-25.07594908,-50.20995715
41,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motocicleta,32.0,Masculino,-23.24847,-52.168648
42,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motocicleta,29.0,Feminino,-23.24847,-52.168648
43,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motoneta,24.0,Masculino,-23.24847,-52.168648
44,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,30.0,Masculino,-23.24847,-52.168648
45,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motocicleta,32.0,Masculino,-23.24847,-52.168648
46,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motocicleta,29.0,Feminino,-23.24847,-52.168648
47,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motoneta,24.0,Masculino,-23.24847,-52.168648
48,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,30.0,Masculino,-23.24847,-52.168648
49,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motocicleta,32.0,Masculino,-23.24847,-52.168648
50,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motocicleta,29.0,Feminino,-23.24847,-52.168648
51,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motoneta,24.0,Masculino,-23.24847,-52.168648
52,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,30.0,Masculino,-23.24847,-52.168648
53,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motocicleta,32.0,Masculino,-23.24847,-52.168648
54,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motocicleta,29.0,Feminino,-23.24847,-52.168648
55,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Motoneta,24.0,Masculino,-23.24847,-52.168648
56,2025-01-01,04:00:00,376.0,141.9,NOVA ESPERANCA,Com Vítimas Feridas,Céu Claro,Decrescente,Automóvel,30.0,Masculino,-23.24847,-52.168648
64,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
65,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,26.0,Masculino,-25.535132,-48.703615
66,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
67,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,26.0,Masculino,-25.535132,-48.703615
68,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
69,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,26.0,Masculino,-25.535132,-48.703615
70,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
71,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,26.0,Masculino,-25.535132,-48.703615
72,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
73,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,26.0,Masculino,-25.535132,-48.703615
74,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
75,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,26.0,Masculino,-25.535132,-48.703615
76,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
77,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,26.0,Masculino,-25.535132,-48.703615
78,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
79,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,26.0,Masculino,-25.535132,-48.703615
80,2025-01-01,07:00:00,277.0,19.7,MORRETES,Com Vítimas Feridas,Sol,Decrescente,Motocicleta,24.0,Feminino,-25.535132,-48.703615
