,data_inversa,horario,br,km,municipio,classificacao_acidente,condicao_metereologica,sentido_via,tipo_veiculo,idade,sexo,latitude,longitude
0,2025-01-01,02:00:00,116.0,11.3,COLOMBO,Sem Vítimas,Céu Claro,Crescente,Automóvel,54.0,Masculino,-25.37228723,-49.13813353
57,2025-01-01,03:40:00,476.0,143.0,CURITIBA,Sem Vítimas,Céu Claro,Decrescente,Caminhonete,37.0,Não Informado,-25.53852381,-49.3106597
58,2025-01-01,03:40:00,476.0,143.0,CURITIBA,Sem Vítimas,Céu Claro,Decrescente,Caminhonete,37.0,Não Informado,-25.53852381,-49.3106597
59,2025-01-01,03:15:00,373.0,234.0,IMBITUVA,Sem Vítimas,Céu Claro,Crescente,Automóvel,37.0,Não Informado,-25.18453854,-50.70672388
60,2025-01-01,05:40:00,153.0,330.0,IRATI,Sem Vítimas,Céu Claro,Decrescente,Automóvel,37.0,Não Informado,-25.45471011,-50.6196247
61,2025-01-01,05:40:00,153.0,330.0,IRATI,Sem Vítimas,Céu Claro,Decrescente,Automóvel,37.0,Não Informado,-25.45471011,-50.6196247
62,2025-01-01,03:00:00,277.0,35.0,MORRETES,Sem Vítimas,Nevoeiro/Neblina,Crescente,Motocicleta,37.0,Não Informado,-25.55225338,-48.79892578
63,2025-01-01,03:00:00,277.0,35.0,MORRETES,Sem Vítimas,Nevoeiro/Neblina,Crescente,Motocicleta,37.0,Não Informado,-25.55225338,-48.79892578
156,2025-01-01,17:10:00,476.0,161.1,ARAUCARIA,Sem Vítimas,Nublado,Decrescente,Automóvel,72.0,Masculino,-25.563601,-49.377041
157,2025-01-01,17:10:00,476.0,161.1,ARAUCARIA,Sem Vítimas,Nublado,Decrescente,Automóvel,37.0,Não Informado,-25.563601,-49.377041
158,2025-01-01,14:30:00,277.0,657.9,MATELANDIA,Sem Vítimas,Céu Claro,Decrescente,Automóvel,37.0,Não Informado,-25.24283274,-53.97750378
159,2025-01-01,14:30:00,277.0,657.9,MATELANDIA,Sem Vítimas,Céu Claro,Decrescente,Automóvel,37.0,Não Informado,-25.24283274,-53.97750378
207,2025-01-01,19:05:00,277.0,584.3,CASCAVEL,Sem Vítimas,Céu Claro,Crescente,Camioneta,31.0,Feminino,-24.9642727,-53.40655804
249,2025-01-01,21:20:00,163.0,184.9,SANTA TEREZA DO OESTE,Sem Vítimas,Céu Claro,Decrescente,Automóvel,21.0,Feminino,-25.14321919,-53.58795779
250,2025-01-01,21:20:00,163.0,184.9,SANTA TEREZA DO OESTE,Sem Vítimas,Céu Claro,Decrescente,Automóvel,21.0,Feminino,-25.14321919,-53.58795779
251,2025-01-01,21:20:00,163.0,184.9,SANTA TEREZA DO OESTE,Sem Vítimas,Céu Claro,Decrescente,Automóvel,21.0,Feminino,-25.14321919,-53.58795779
256,2025-01-02,00:30:00,277.0,64.0,SAO JOSE DOS PINHAIS,Sem Vítimas,Nublado,Crescente,Automóvel,37.0,Não Informado,-25.55703867,-49.02612685
257,2025-01-02,00:30:00,277.0,64.0,SAO JOSE DOS PINHAIS,Sem Vítimas,Nublado,Crescente,Automóvel,37.0,Não Informado,-25.55703867,-49.02612685
258,2025-01-02,00:30:00,277.0,64.0,SAO JOSE DOS PINHAIS,Sem Vítimas,Nublado,Crescente,Automóvel,37.0,Não Informado,-25.55703867,-49.02612685
259,2025-01-02,00:30:00,277.0,64.0,SAO JOSE DOS PINHAIS,Sem Vítimas,Nublado,Crescente,Automóvel,37.0,Não Informado,-25.55703867,-49.02612685
314,2025-01-02,00:00:00,376.0,112.0,PARANAVAI,Sem Vítimas,Céu Claro,Crescente,Automóvel,37.0,Não Informado,-23.09343108,-52.38419702
397,2025-01-02,13:55:00,277.0,144.0,CAMPO LARGO,Sem Vítimas,Céu Claro,Decrescente,Automóvel,40.0,Feminino,-25.47358827,-49.70068508
398,2025-01-02,13:55:00,277.0,144.0,CAMPO LARGO,Sem Vítimas,Céu Claro,Decrescente,Automóvel,7.0,Masculino,-25.47358827,-49.70068508
399,2025-01-02,13:55:00,277.0,144.0,CAMPO LARGO,Sem Vítimas,Céu Claro,Decrescente,Automóvel,50.0,Masculino,-25.47358827,-49.70068508
400,2025-01-02,13:55:00,277.0,144.0,CAMPO LARGO,Sem Vítimas,Céu Claro,Decrescente,Motocicleta,31.0,Masculino,-25.47358827,-49.70068508
401,2025-01-02,13:55:00,277.0,144.0,CAMPO LARGO,Sem Vítimas,Céu Claro,Decrescente,Automóvel,40.0,Feminino,-25.47358827,-49.70068508
402,2025-01-02,13:55:00,277.0,144.0,CAMPO LARGO,Sem Vítimas,Céu Claro,Decrescente,Automóvel,7.0,Masculino,-25.47358827,-49.70068508
